minutos,banana,fideos,kiwi,pan
-25,90.734,84.924,88.933,95.47
-20,90.672,84.853,89.642,96.111
-15,91.026,85.146,90.654,96.729
-10,91.652,85.362,91.828,97.1
-5,91.921,85.425,92.871,96.851
0,91.27,85.325,93.021,95.581
5,89.907,85.329,92.054,93.548
10,89.185,86.201,91.466,91.669
15,90.936,88.786,92.955,90.399
20,96.18,93.575,97.432,90.351
25,104.816,100.397,104.999,92.382
30,116.163,108.395,114.867,96.268
35,129.14,116.44,125.575,101.155
40,142.324,123.634,135.409,105.525
45,154.33,129.511,143.063,107.307
50,164.109,134.07,148.097,107.997
55,171.121,137.814,150.433,111.733
60,175.202,141.612,150.351,119.424
65,176.303,146.272,148.99,127.496
70,174.685,152.018,147.497,132.37
75,171.232,158.32,146.09,133.669
80,167.461,164.136,144.429,133.255
85,164.933,168.295,142.356,132.588
90,163.845,169.753,140.029,131.182
95,162.893,167.9,137.584,128.078
100,160.872,162.999,134.789,123.481
105,157.63,156.106,131.324,118.34
110,153.739,148.352,127.24,114.13
115,149.849,140.464,123.082,111.917
120,146.265,132.99,119.342,111.08
125,142.742,126.616,116.168,110.532
130,139.051,121.878,113.4,109.559
135,135.437,118.81,110.783,107.892
140,132.156,117.04,108.018,105.98
145,129.178,116.131,104.92,103.849
150,126.337,115.823,101.715,101.573
155,123.47,115.899,98.727,99.641
160,120.461,115.868,96.198,98.2
165,117.249,115.006,94.135,97.276
170,113.81,112.913,92.106,96.37
